funcid,dim,milestone,error
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.256949e+02
21,30,30,2.256949e+02
21,30,40,2.256949e+02
21,30,50,2.256949e+02
21,30,60,2.256949e+02
21,30,70,2.256949e+02
21,30,80,2.256949e+02
21,30,90,2.256949e+02
21,30,100,2.256949e+02
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.914134e+02
21,30,30,2.914134e+02
21,30,40,2.914134e+02
21,30,50,2.914134e+02
21,30,60,2.914134e+02
21,30,70,2.699523e+02
21,30,80,2.695631e+02
21,30,90,2.695631e+02
21,30,100,2.695631e+02
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.914134e+02
21,30,30,2.914134e+02
21,30,40,2.914134e+02
21,30,50,2.914134e+02
21,30,60,2.081237e+02
21,30,70,2.081237e+02
21,30,80,2.081237e+02
21,30,90,2.081237e+02
21,30,100,2.081237e+02
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.914134e+02
21,30,30,2.914134e+02
21,30,40,2.914134e+02
21,30,50,2.914134e+02
21,30,60,2.914134e+02
21,30,70,2.914134e+02
21,30,80,2.914134e+02
21,30,90,2.914134e+02
21,30,100,2.914134e+02
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.914134e+02
21,30,30,2.914134e+02
21,30,40,2.914134e+02
21,30,50,2.914134e+02
21,30,60,2.914134e+02
21,30,70,2.914134e+02
21,30,80,2.914134e+02
21,30,90,2.914134e+02
21,30,100,2.218714e+02
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.914134e+02
21,30,30,2.914134e+02
21,30,40,2.837509e+02
21,30,50,2.837509e+02
21,30,60,2.837509e+02
21,30,70,2.837509e+02
21,30,80,2.837509e+02
21,30,90,2.226625e+02
21,30,100,2.226625e+02
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.914134e+02
21,30,30,2.914134e+02
21,30,40,2.914134e+02
21,30,50,2.914134e+02
21,30,60,2.914134e+02
21,30,70,2.914134e+02
21,30,80,2.914134e+02
21,30,90,2.030514e+02
21,30,100,2.030514e+02
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.914134e+02
21,30,30,2.165297e+02
21,30,40,2.165297e+02
21,30,50,2.165297e+02
21,30,60,2.165297e+02
21,30,70,2.165297e+02
21,30,80,2.165297e+02
21,30,90,2.165297e+02
21,30,100,2.165297e+02
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.914134e+02
21,30,30,2.914134e+02
21,30,40,2.914134e+02
21,30,50,2.914134e+02
21,30,60,2.914134e+02
21,30,70,2.914134e+02
21,30,80,2.914134e+02
21,30,90,2.914134e+02
21,30,100,2.914134e+02
21,30,1,4.210534e+02
21,30,2,3.696045e+02
21,30,3,3.504878e+02
21,30,5,3.161170e+02
21,30,10,2.914134e+02
21,30,20,2.914134e+02
21,30,30,2.037596e+02
21,30,40,2.037596e+02
21,30,50,2.037596e+02
21,30,60,2.037596e+02
21,30,70,2.037596e+02
21,30,80,2.037596e+02
21,30,90,2.037596e+02
21,30,100,2.037596e+02
