funcid,dim,milestone,error
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.784645e+03
7,50,40,4.784645e+03
7,50,50,4.784645e+03
7,50,60,4.784645e+03
7,50,70,4.784645e+03
7,50,80,4.784645e+03
7,50,90,4.784645e+03
7,50,100,4.784645e+03
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.784645e+03
7,50,40,4.784645e+03
7,50,50,4.579364e+03
7,50,60,4.579364e+03
7,50,70,4.579364e+03
7,50,80,4.579364e+03
7,50,90,4.579364e+03
7,50,100,4.579364e+03
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.784645e+03
7,50,40,4.784645e+03
7,50,50,4.784645e+03
7,50,60,4.784645e+03
7,50,70,4.784645e+03
7,50,80,4.784645e+03
7,50,90,4.784645e+03
7,50,100,4.784645e+03
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.590302e+03
7,50,40,4.590302e+03
7,50,50,4.590302e+03
7,50,60,4.590302e+03
7,50,70,4.590302e+03
7,50,80,4.590302e+03
7,50,90,4.037037e+03
7,50,100,4.037037e+03
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.784645e+03
7,50,40,4.784645e+03
7,50,50,4.784645e+03
7,50,60,4.784645e+03
7,50,70,4.784645e+03
7,50,80,4.784645e+03
7,50,90,4.784645e+03
7,50,100,4.784645e+03
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.784645e+03
7,50,40,4.784645e+03
7,50,50,4.784645e+03
7,50,60,4.784645e+03
7,50,70,4.784645e+03
7,50,80,4.784645e+03
7,50,90,4.784645e+03
7,50,100,4.784645e+03
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.784645e+03
7,50,40,4.784645e+03
7,50,50,4.784645e+03
7,50,60,4.784645e+03
7,50,70,4.784645e+03
7,50,80,4.784645e+03
7,50,90,4.784645e+03
7,50,100,4.784645e+03
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.784645e+03
7,50,40,4.784645e+03
7,50,50,4.784645e+03
7,50,60,4.784645e+03
7,50,70,4.784645e+03
7,50,80,4.784645e+03
7,50,90,4.784645e+03
7,50,100,4.784645e+03
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.405024e+03
7,50,40,4.405024e+03
7,50,50,4.405024e+03
7,50,60,4.405024e+03
7,50,70,4.405024e+03
7,50,80,4.405024e+03
7,50,90,4.405024e+03
7,50,100,4.405024e+03
7,50,1,5.227682e+03
7,50,2,5.227682e+03
7,50,3,5.227682e+03
7,50,5,5.227682e+03
7,50,10,4.784645e+03
7,50,20,4.784645e+03
7,50,30,4.784645e+03
7,50,40,4.784645e+03
7,50,50,4.784645e+03
7,50,60,4.784645e+03
7,50,70,4.784645e+03
7,50,80,4.784645e+03
7,50,90,4.784645e+03
7,50,100,4.784645e+03
